,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
0,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,1011,Wakefield,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
1,XL NEW YORK Nightclub,,,40.879381,-73.824627,2553,Co-op City,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
2,The Garage,,,40.88216467197872,-73.82759319234759,2161,Eastchester,Nightclub,2260 Tilloton Ave,"[{'label': 'display', 'lat': 40.88216467197872, 'lng': -73.82759319234759}, {'label': 'entrance', 'lat': 40.882219, 'lng': -73.82758}]",,US,Bronx,NY,United States,"['2260 Tilloton Ave', 'Bronx, NY', 'United States']",,
3,Masion Night Club,,,40.9087956,-73.8330844,1967,Fieldston,Music Venue,,"[{'label': 'display', 'lat': 40.9087956, 'lng': -73.8330844}]",,US,Mount Vernon,NY,United States,"['Mount Vernon, NY', 'United States']",,
4,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,1759,Riverdale,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,XL NEW YORK Nightclub,,,40.879381,-73.824627,721,Wakefield,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
1,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,3102,Co-op City,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
2,The Garage,,,40.88216467197872,-73.82759319234759,898,Eastchester,Nightclub,2260 Tilloton Ave,"[{'label': 'display', 'lat': 40.88216467197872, 'lng': -73.82759319234759}, {'label': 'entrance', 'lat': 40.882219, 'lng': -73.82758}]",,US,Bronx,NY,United States,"['2260 Tilloton Ave', 'Bronx, NY', 'United States']",,
3,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,1254,Fieldston,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,XL NEW YORK Nightclub,,,40.879381,-73.824627,948,Wakefield,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
1,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,2634,Co-op City,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
2,The Garage,,,40.88216467197872,-73.82759319234759,600,Eastchester,Nightclub,2260 Tilloton Ave,"[{'label': 'display', 'lat': 40.88216467197872, 'lng': -73.82759319234759}, {'label': 'entrance', 'lat': 40.882219, 'lng': -73.82758}]",,US,Bronx,NY,United States,"['2260 Tilloton Ave', 'Bronx, NY', 'United States']",,
3,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,1609,Fieldston,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
4,Masion Night Club,,,40.9087956,-73.8330844,2405,Riverdale,Music Venue,,"[{'label': 'display', 'lat': 40.9087956, 'lng': -73.8330844}]",,US,Mount Vernon,NY,United States,"['Mount Vernon, NY', 'United States']",,
0,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,3102,Wakefield,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
0,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,2463,Wakefield,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
0,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,1864,Wakefield,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
